x (Concentracion),y (Corriente)
0.008433036,94
0.020028461,85
0.100142307,73
0.040056923,69
0.443261477,61
1.0,29
2.0,28
5.0,21
7.0,17
12.0,12
15.0,8
18.0,6
20.0,2
25.0,2
28.0,2
30.0,2
